date,hh,state,distance,consumption
2020-03-02 13:00:00,37.0,home,0.0,0.0
2020-03-02 13:15:00,37.25,home,0.0,0.0
2020-03-02 13:30:00,37.5,home,0.0,0.0
2020-03-02 13:45:00,37.75,home,0.0,0.0
2020-03-02 14:00:00,38.0,home,0.0,0.0
2020-03-02 14:15:00,38.25,home,0.0,0.0
2020-03-02 14:30:00,38.5,home,0.0,0.0
2020-03-02 14:45:00,38.75,home,0.0,0.0
2020-03-02 15:00:00,39.0,home,0.0,0.0
2020-03-02 15:15:00,39.25,home,0.0,0.0
2020-03-02 15:30:00,39.5,home,0.0,0.0
2020-03-02 15:45:00,39.75,home,0.0,0.0
2020-03-02 16:00:00,40.0,home,0.0,0.0
2020-03-02 16:15:00,40.25,home,0.0,0.0
2020-03-02 16:30:00,40.5,home,0.0,0.0
2020-03-02 16:45:00,40.75,home,0.0,0.0
2020-03-02 17:00:00,41.0,home,0.0,0.0
2020-03-02 17:15:00,41.25,home,0.0,0.0
2020-03-02 17:30:00,41.5,home,0.0,0.0
2020-03-02 17:45:00,41.75,home,0.0,0.0
2020-03-02 18:00:00,42.0,home,0.0,0.0
2020-03-02 18:15:00,42.25,home,0.0,0.0
2020-03-02 18:30:00,42.5,home,0.0,0.0
2020-03-02 18:45:00,42.75,home,0.0,0.0
2020-03-02 19:00:00,43.0,home,0.0,0.0
2020-03-02 19:15:00,43.25,home,0.0,0.0
2020-03-02 19:30:00,43.5,home,0.0,0.0
2020-03-02 19:45:00,43.75,home,0.0,0.0
2020-03-02 20:00:00,44.0,home,0.0,0.0
2020-03-02 20:15:00,44.25,home,0.0,0.0
2020-03-02 20:30:00,44.5,home,0.0,0.0
2020-03-02 20:45:00,44.75,home,0.0,0.0
2020-03-02 21:00:00,45.0,home,0.0,0.0
2020-03-02 21:15:00,45.25,home,0.0,0.0
2020-03-02 21:30:00,45.5,home,0.0,0.0
2020-03-02 21:45:00,45.75,home,0.0,0.0
2020-03-02 22:00:00,46.0,home,0.0,0.0
2020-03-02 22:15:00,46.25,home,0.0,0.0
2020-03-02 22:30:00,46.5,home,0.0,0.0
2020-03-02 22:45:00,46.75,home,0.0,0.0
2020-03-02 23:00:00,47.0,home,0.0,0.0
2020-03-02 23:15:00,47.25,home,0.0,0.0
2020-03-02 23:30:00,47.5,home,0.0,0.0
2020-03-02 23:45:00,47.75,home,0.0,0.0
2020-03-03 00:00:00,48.0,home,0.0,0.0
2020-03-03 00:15:00,48.25,home,0.0,0.0
2020-03-03 00:30:00,48.5,home,0.0,0.0
2020-03-03 00:45:00,48.75,home,0.0,0.0
2020-03-03 01:00:00,49.0,home,0.0,0.0
2020-03-03 01:15:00,49.25,home,0.0,0.0
2020-03-03 01:30:00,49.5,home,0.0,0.0
2020-03-03 01:45:00,49.75,home,0.0,0.0
2020-03-03 02:00:00,50.0,home,0.0,0.0
2020-03-03 02:15:00,50.25,home,0.0,0.0
2020-03-03 02:30:00,50.5,home,0.0,0.0
2020-03-03 02:45:00,50.75,home,0.0,0.0
2020-03-03 03:00:00,51.0,home,0.0,0.0
2020-03-03 03:15:00,51.25,home,0.0,0.0
2020-03-03 03:30:00,51.5,home,0.0,0.0
2020-03-03 03:45:00,51.75,home,0.0,0.0
2020-03-03 04:00:00,52.0,home,0.0,0.0
2020-03-03 04:15:00,52.25,home,0.0,0.0
2020-03-03 04:30:00,52.5,home,0.0,0.0
2020-03-03 04:45:00,52.75,home,0.0,0.0
2020-03-03 05:00:00,53.0,home,0.0,0.0
2020-03-03 05:15:00,53.25,home,0.0,0.0
2020-03-03 05:30:00,53.5,home,0.0,0.0
2020-03-03 05:45:00,53.75,home,0.0,0.0
2020-03-03 06:00:00,54.0,home,0.0,0.0
2020-03-03 06:15:00,54.25,home,0.0,0.0
2020-03-03 06:30:00,54.5,home,0.0,0.0
2020-03-03 06:45:00,54.75,home,0.0,0.0
2020-03-03 07:00:00,55.0,home,0.0,0.0
2020-03-03 07:15:00,55.25,home,0.0,0.0
2020-03-03 07:30:00,55.5,home,0.0,0.0
2020-03-03 07:45:00,55.75,home,0.0,0.0
2020-03-03 08:00:00,56.0,home,0.0,0.0
